frame_index,time_s,R_skin_raw,R_normalized,G_skin_raw,G_normalized,B_skin_raw,B_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,clust_agree,quality_score,BVP_ham_tight,BVP_ham_adapt,BVP_el_tight,f_p1_adapt,f_p2_adapt,N_ham_mid
1,0,154.805572509766,1.00475878709868,120.808502197266,0.997662490733946,108.385894775391,0.99586372974612,128.137176513672,1,67595,-0.00177255381279778,-0.000417347200128109,-0.000677169644457967,0.000304342213366676,-0.000756211412958232,NaN,0.969327032566071,0.766417634440417,0.370293660773726,0.882533423856277,0.357380002737045,0.0658032170461667,0.387306753458096,0.692548120993834,-2.09373267655914e-08,-8.77414816285664e-08,0.000236379221631466,0.817596055136158,3.22842153564043,61
2,0.0333351478860461,154.707946777344,1.0041251515589,120.797973632812,0.997575543593264,108.494079589844,0.996857745923654,128.090042114258,1,67876,-5.92333916998866e-06,0.000604832555211274,0.000120682126196083,0.00102560720089762,-2.11116404566486e-06,NaN,0.969479262828827,0.765376077946058,0.36920266368083,0.886202214330478,0.358217716217041,0.0610246500940046,0.387839589840297,0.693249005249437,0.000908825820846913,0.000959436203727519,0.00111976475209166,0.817596055136158,3.22842153564043,61
3,0.0666702957720922,154.728713989258,1.00425994023812,120.782730102539,0.997449659254798,108.488555908203,0.996806993616705,128.15657043457,1,67837,0.000446002444980997,0.00146253323427776,0.000816054425599449,0.00163254253035274,0.000671311373382992,NaN,0.96935760974884,0.765368948115827,0.36860415407521,0.885693022770002,0.358384817838669,0.0618863588886568,0.388121526600528,0.693135679958296,0.0016612307056768,0.00175832224076977,0.00184840403702251,0.817596055136158,3.22842153564043,61
4,0.100005443658138,154.70182800293,1.0040854379216,120.810287475586,0.997677233944758,108.487892150879,0.996800894927886,128.199645996094,1,67917,-0.000492085031093603,0.00203599774502188,0.00134753143362512,0.00205259111285709,0.00121481490071838,NaN,0.969216704368591,0.765463727785385,0.369583462167057,0.886737518278671,0.35820010304451,0.0610115939001462,0.388120794499168,0.693259225525035,0.00213208522180481,0.0022675147103883,0.00229919808223357,0.817596055136158,3.22842153564043,61
5,0.133340591544184,154.766845703125,1.00450743245661,120.802558898926,0.997613409703083,108.430603027344,0.996274514992971,128.173889160156,1,67949,-0.000966594445498459,0.00228084103024942,0.00167534012575535,0.00224071264022513,0.00157565101943875,NaN,0.968801259994507,0.764813806433256,0.367687530353648,0.881344280581605,0.358567982912064,0.0655278415502549,0.385789342006505,0.691836490038538,0.00225276978627823,0.00241499129439924,0.00239703228939525,0.817596055136158,3.22842153564043,61
6,0.16667573943023,154.854629516602,1.0050771894526,120.811309814453,0.997685676638128,108.33406829834,0.995387541319182,127.825561523438,1,67990,-0.00250952416057049,0.00221507093735477,0.00177245448757396,0.0021835227932459,0.00169896818267548,NaN,0.968847453594208,0.767995293425504,0.373187233416679,0.881876078187219,0.357567876577377,0.0650608973111794,0.383924106486248,0.692185999811114,0.00202472140122434,0.00219970541265368,0.00213135862679031,0.817596055136158,3.22842153564043,61
7,0.200010887316277,154.884002685547,1.00526783471894,120.768104553223,0.997328878335459,108.347885131836,0.995514492186425,127.928718566895,1,67669,-0.000857582984685523,0.00188799872140141,0.00162134854205334,0.00189933830403044,0.00154754967482467,NaN,0.968629002571106,0.767214923623323,0.373568399119242,0.877712492055463,0.35728394985199,0.0691077473831667,0.384666538592265,0.691476303504588,0.00151776243241208,0.0016903607262699,0.00156095259195009,0.817596055136158,3.22842153564043,61
8,0.233346035202323,154.848159790039,1.00503519797575,120.877639770508,0.998233443624426,108.274208068848,0.994837537727579,127.831382751465,1,67822,-0.00552560885154507,0.00135846530863247,0.00122592708004205,0.00142983254328453,0.00112700353687066,NaN,0.968298077583313,0.766314765120462,0.372607708413199,0.879697005071533,0.357265740633011,0.0675901786061714,0.383607089145115,0.691244461671956,0.000852440800165251,0.00100803404243099,0.000803729656280362,0.817596055136158,3.22842153564043,61
9,0.266681183088369,154.829544067383,1.00491437344332,120.796424865723,0.997562753542859,108.3740234375,0.995754654346103,127.973487854004,1,67521,-0.00146800165516159,0.000697054412819543,0.00063507185029933,0.000834843227857645,0.000511035854961141,NaN,0.967986226081848,0.765559356842069,0.372328608877238,0.87579283240593,0.357373476028442,0.0732453921683075,0.383584366345285,0.690106038411004,0.0001696533378395,0.000295983118985698,1.03260870544438e-05,0.817596055136158,3.22842153564043,61
10,0.300016330974415,154.804138183594,1.00474947766749,120.836807250977,0.997896239930998,108.35905456543,0.995617118398267,127.91185760498,1,67812,-0.00302700757247087,2.3809799000955e-06,-4.03376252024225e-05,0.000178339917177106,-0.000162979816492868,NaN,0.967932224273682,0.764515621620559,0.37064236418333,0.879567298338457,0.35678231716156,0.0685629791042453,0.384342004365009,0.690784504608855,-0.000405303731481007,-0.000316561145061618,-0.0006742061063551,0.817596055136158,3.22842153564043,61
11,0.333351478860461,154.846618652344,1.00502519528905,120.895561218262,0.998381442779109,108.257827758789,0.994687033303519,128.36506652832,1,67887,-0.00632833443507153,-0.000595747678328473,-0.000638966203327299,-0.000476039986310978,-0.000722808293162351,NaN,0.958645641803741,0.764044171441759,0.371971069571494,0.880540098836531,0.357733428478241,0.0692763661361661,0.429552049729698,0.69729643610344,-0.000794261740599481,-0.000746371517722302,-0.00114775556663395,0.817596055136158,3.22842153564043,61
12,0.366686626746507,154.810913085938,1.00479344987438,120.93766784668,0.998729168336664,108.251419067383,0.994628149411479,128.288360595703,1,67842,-0.00783496033678455,-0.000967585290932152,-0.00099784646096881,-0.00107270883920228,-0.00102056689263854,NaN,0.95948052406311,0.764231596945845,0.372718964653165,0.879956418537686,0.357616245746613,0.0685629791042453,0.429719053093954,0.697690184367058,-0.000983471927832918,-0.00097425857077014,-0.00137740353112664,0.817596055136158,3.22842153564043,61
13,0.400021774632553,154.860961914062,1.00511828960093,120.907402038574,0.99847922680979,108.231658935547,0.994446590744356,128.334701538086,1,67538,-0.00705751324469728,-0.00104202805060203,-0.00102223354557288,-0.00156568677542659,-0.000990673791708302,NaN,0.960390746593475,0.763555331813201,0.371642630815245,0.87601333385216,0.358001857995987,0.0734658936145375,0.428529124344813,0.696760034901646,-0.00102025721674175,-0.00104254127902302,-0.00140496183830468,0.817596055136158,3.22842153564043,61
14,0.433356922518599,154.887329101562,1.00528942467638,120.975555419922,0.999042052032771,108.13712310791,0.993577983236893,128.143081665039,1,68120,-0.0105913171525139,-0.000856031481665384,-0.000739719536475889,-0.0019198228594636,-0.000685169340071041,NaN,0.960080087184906,0.764709336465062,0.37435408103347,0.883562265717213,0.356862753629684,0.0653073401040248,0.428669994128009,0.698246713498197,-0.00098899756394572,-0.00103174577553591,-0.00132505340174182,0.817596055136158,3.22842153564043,61
15,0.466692070404645,154.867980957031,1.00516384639185,120.877815246582,0.998234892743438,108.254219055176,0.994653876064311,128.421417236328,1,68087,-0.00574844375003458,-0.000553755162148749,-0.000301857798350602,-0.00210729731015123,-0.000256907159866764,NaN,0.961140275001526,0.76622066865432,0.376841394098727,0.880860587870006,0.357615739107132,0.0691109501138481,0.42344353547667,0.697160157558364,-0.000973750663850268,-0.00102363735303086,-0.00124378696161675,0.817596055136158,3.22842153564043,61
16,0.500027218290691,154.867446899414,1.00516038011428,120.909561157227,0.998497057274147,108.222984313965,0.994366887190487,128.250930786133,1,68475,-0.00722536592157269,-0.000321824211880534,7.897076904819e-05,-0.0021109385272184,0.000100518247998628,NaN,0.961069524288177,0.765603018133139,0.376765242789339,0.885880252535707,0.358191251754761,0.0640654108880149,0.423088718510405,0.697755262658671,-0.0010205193372753,-0.00106371188765918,-0.00123261345447578,0.817596055136158,3.22842153564043,61
