frame_index,time_s,R_skin_raw,R_normalized,G_skin_raw,G_normalized,B_skin_raw,B_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,clust_agree,quality_score
1,0.0,154.80557250976562,1.0047587870986785,120.80850219726562,0.9976624907339463,108.38589477539062,0.9958637297461201,128.13717651367188,1.0,67595.0,-0.0017725538127977836,-0.00041734720012810895,-0.0006771696444579668,0.00030434221336667614,-0.0007562114129582315,,0.9693270325660706,0.7664176344404172,0.3702936607737259,0.8825334238562774,0.3573800027370453,0.0658032170461667,0.387306753458096,0.6925481209938337
2,0.03333514788604609,154.70794677734375,1.0041251515589007,120.7979736328125,0.9975755435932641,108.49407958984375,0.9968577459236536,128.0900421142578,1.0,67876.0,-5.923339169988662e-06,0.0006048325552112737,0.0001206821261960826,0.0010256072008976156,-2.11116404566486e-06,,0.9694792628288269,0.7653760779460584,0.36920266368082977,0.8862022143304784,0.358217716217041,0.061024650094004596,0.38783958984029704,0.6932490052494371
3,0.06667029577209219,154.7287139892578,1.0042599402381187,120.78273010253906,0.997449659254798,108.48855590820312,0.9968069936167048,128.1565704345703,1.0,67837.0,0.0004460024449809974,0.001462533234277761,0.0008160544255994488,0.0016325425303527353,0.0006713113733829919,,0.9693576097488403,0.7653689481158267,0.3686041540752097,0.8856930227700021,0.3583848178386688,0.061886358888656776,0.38812152660052773,0.693135679958296
4,0.10000544365813828,154.7018280029297,1.0040854379215998,120.81028747558594,0.9976772339447577,108.4878921508789,0.9968008949278864,128.19964599609375,1.0,67917.0,-0.0004920850310936031,0.0020359977450218766,0.001347531433625115,0.002052591112857091,0.001214814900718378,,0.9692167043685913,0.7654637277853852,0.36958346216705684,0.8867375182786714,0.3582001030445099,0.06101159390014623,0.3881207944991681,0.6932592255250352
5,0.13334059154418437,154.766845703125,1.0045074324566097,120.80255889892578,0.997613409703083,108.43060302734375,0.996274514992971,128.17388916015625,1.0,67949.0,-0.0009665944454984587,0.0022808410302494193,0.0016753401257553525,0.002240712640225131,0.0015756510194387453,,0.9688012599945068,0.7648138064332564,0.3676875303536476,0.881344280581605,0.3585679829120636,0.06552784155025487,0.3857893420065049,0.6918364900385383
6,0.16667573943023045,154.85462951660156,1.0050771894525992,120.81130981445312,0.9976856766381282,108.33406829833984,0.9953875413191818,127.8255615234375,1.0,67990.0,-0.0025095241605704866,0.002215070937354775,0.0017724544875739573,0.002183522793245904,0.001698968182675476,,0.9688474535942078,0.7679952934255038,0.3731872334166789,0.8818760781872187,0.3575678765773773,0.06506089731117942,0.383924106486248,0.6921859998111136
7,0.20001088731627656,154.88400268554688,1.0052678347189437,120.76810455322266,0.997328878335459,108.34788513183594,0.9955144921864254,127.92871856689453,1.0,67669.0,-0.0008575829846855232,0.0018879987214014096,0.0016213485420533366,0.001899338304030439,0.0015475496748246665,,0.968629002571106,0.7672149236233233,0.37356839911924217,0.8777124920554626,0.35728394985198975,0.06910774738316666,0.3846665385922653,0.6914763035045876
8,0.23334603520232264,154.84815979003906,1.0050351979757524,120.87763977050781,0.9982334436244265,108.27420806884766,0.994837537727579,127.83138275146484,1.0,67822.0,-0.005525608851545072,0.0013584653086324695,0.0012259270800420486,0.0014298325432845272,0.001127003536870657,,0.968298077583313,0.7663147651204624,0.37260770841319923,0.8796970050715333,0.35726574063301086,0.06759017860617145,0.38360708914511515,0.6912444616719564
9,0.26668118308836875,154.8295440673828,1.004914373443316,120.79642486572266,0.9975627535428594,108.3740234375,0.9957546543461031,127.9734878540039,1.0,67521.0,-0.0014680016551615882,0.0006970544128195434,0.0006350718502993303,0.0008348432278576448,0.0005110358549611414,,0.9679862260818481,0.7655593568420689,0.3723286088772382,0.8757928324059302,0.3573734760284424,0.07324539216830746,0.38358436634528514,0.6901060384110036
10,0.3000163309744148,154.80413818359375,1.0047494776674908,120.83680725097656,0.9978962399309979,108.35905456542969,0.9956171183982666,127.91185760498047,1.0,67812.0,-0.0030270075724708745,2.3809799000954997e-06,-4.033762520242251e-05,0.0001783399171771057,-0.00016297981649286838,,0.9679322242736816,0.7645156216205589,0.3706423641833304,0.8795672983384567,0.35678231716156006,0.0685629791042453,0.38434200436500915,0.6907845046088548
