x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isEye,isBrow,isMouth,isHairline,isEar,isBeard,isSpecular,lightClass
112,210,0.67843137254902,0.666666666666667,0.709803921568627,164,132,129,0,0,1,0,0,0,0,0,0,medium
112,211,0.666666666666667,0.654901960784314,0.698039215686274,161,132,129,0,0,1,0,0,0,0,0,0,medium
112,212,0.603921568627451,0.592156862745098,0.635294117647059,148,132,129,0,0,1,0,0,0,0,0,0,medium
112,213,0.615686274509804,0.603921568627451,0.647058823529412,150,132,129,0,0,1,0,0,0,0,0,0,medium
112,214,0.698039215686274,0.686274509803922,0.729411764705882,168,132,129,0,0,1,0,0,0,0,0,0,medium
112,215,0.749019607843137,0.737254901960784,0.780392156862745,179,132,129,0,0,0,0,0,0,0,0,0,bright
112,216,0.745098039215686,0.733333333333333,0.776470588235294,178,132,129,0,0,0,0,0,0,0,0,0,bright
112,217,0.737254901960784,0.725490196078431,0.768627450980392,177,132,129,0,0,0,0,0,0,0,0,0,bright
112,218,0.717647058823529,0.694117647058824,0.741176470588235,171,132,130,0,0,0,0,0,0,0,0,0,medium
112,219,0.725490196078431,0.701960784313725,0.741176470588235,172,132,130,0,0,0,0,0,0,0,0,0,medium
112,220,0.752941176470588,0.729411764705882,0.768627450980392,178,132,130,0,0,0,0,0,0,0,0,0,bright
112,221,0.764705882352941,0.741176470588235,0.780392156862745,181,132,130,0,0,0,0,0,0,0,0,0,bright
112,222,0.764705882352941,0.733333333333333,0.776470588235294,180,132,131,0,0,0,0,0,0,0,0,0,bright
112,223,0.776470588235294,0.749019607843137,0.780392156862745,183,130,131,0,0,0,0,0,0,0,0,0,bright
112,224,0.780392156862745,0.752941176470588,0.784313725490196,183,130,131,0,0,0,0,0,0,0,0,0,bright
112,225,0.756862745098039,0.729411764705882,0.756862745098039,178,130,131,0,0,0,0,0,0,0,0,0,bright
112,226,0.76078431372549,0.72156862745098,0.752941176470588,177,130,132,0,0,0,0,0,0,0,0,0,bright
