x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isEye,isBrow,isMouth,isHairline,isEar,isBeard,isSpecular,lightClass
117,44,0.223529411764706,0.184313725490196,0.176470588235294,59,126,133,0,0,0,0,0,1,0,0,0,dark
117,45,0.254901960784314,0.215686274509804,0.207843137254902,66,126,133,0,0,0,0,0,1,0,0,0,dark
117,46,0.27843137254902,0.235294117647059,0.227450980392157,70,125,133,0,0,0,0,0,1,0,0,0,dark
117,47,0.294117647058824,0.250980392156863,0.243137254901961,74,125,133,0,0,0,0,0,1,0,0,0,dark
117,48,0.317647058823529,0.262745098039216,0.258823529411765,77,125,134,0,0,0,0,0,1,0,0,0,dark
117,49,0.325490196078431,0.270588235294118,0.266666666666667,79,125,134,0,0,0,0,0,0,0,0,0,dark
117,50,0.317647058823529,0.262745098039216,0.258823529411765,77,125,134,0,0,0,0,0,1,0,0,0,dark
117,51,0.329411764705882,0.274509803921569,0.270588235294118,80,125,134,0,0,0,0,0,0,0,0,0,dark
117,52,0.364705882352941,0.309803921568627,0.305882352941176,87,125,134,0,0,0,0,0,0,0,0,0,dark
117,53,0.4,0.345098039215686,0.341176470588235,95,125,134,0,0,0,0,0,0,0,0,0,medium
117,54,0.407843137254902,0.364705882352941,0.356862745098039,98,125,133,0,0,0,0,0,0,0,0,0,medium
117,55,0.403921568627451,0.36078431372549,0.352941176470588,98,125,133,0,0,0,0,0,0,0,0,0,medium
117,56,0.407843137254902,0.364705882352941,0.356862745098039,98,125,133,0,0,0,0,0,0,0,0,0,medium
117,57,0.419607843137255,0.376470588235294,0.368627450980392,101,125,133,0,0,0,0,0,0,0,0,0,medium
117,58,0.443137254901961,0.388235294117647,0.376470588235294,104,125,134,0,0,0,0,0,0,0,0,0,medium
117,59,0.450980392156863,0.396078431372549,0.384313725490196,106,125,134,0,0,0,0,0,0,0,0,0,medium
117,60,0.458823529411765,0.4,0.388235294117647,107,124,135,0,0,0,0,0,0,0,0,0,medium
117,61,0.462745098039216,0.403921568627451,0.392156862745098,108,124,135,0,0,0,0,0,0,0,0,0,medium
117,62,0.482352941176471,0.419607843137255,0.419607843137255,112,126,135,0,0,0,0,0,0,0,0,0,medium
117,63,0.494117647058824,0.431372549019608,0.431372549019608,115,126,135,0,0,0,0,0,0,0,0,0,medium
117,64,0.505882352941176,0.443137254901961,0.443137254901961,117,126,135,0,0,0,0,0,0,0,0,0,bright
117,65,0.52156862745098,0.458823529411765,0.458823529411765,121,126,135,0,0,0,0,0,0,0,0,0,bright
117,66,0.529411764705882,0.466666666666667,0.466666666666667,122,126,135,0,0,0,0,0,0,0,0,0,bright
117,67,0.537254901960784,0.474509803921569,0.474509803921569,124,126,135,0,0,0,0,0,0,0,0,0,bright
117,68,0.556862745098039,0.486274509803922,0.486274509803922,127,125,136,0,0,0,0,0,0,0,0,0,bright
117,69,0.572549019607843,0.501960784313725,0.501960784313725,131,125,136,0,0,0,0,0,0,0,0,0,bright
117,70,0.588235294117647,0.517647058823529,0.509803921568627,134,124,136,1,1,0,0,0,0,0,0,0,bright
117,71,0.6,0.529411764705882,0.52156862745098,136,124,136,1,1,0,0,0,0,0,0,0,bright
117,72,0.611764705882353,0.541176470588235,0.533333333333333,139,124,136,1,1,0,0,0,0,0,0,0,bright
117,73,0.615686274509804,0.545098039215686,0.537254901960784,140,124,136,1,1,0,0,0,0,0,0,0,bright
117,74,0.607843137254902,0.549019607843137,0.537254901960784,140,124,135,1,1,0,0,0,0,0,0,0,bright
117,75,0.6,0.541176470588235,0.529411764705882,138,124,135,1,1,0,0,0,0,0,0,0,bright
117,76,0.596078431372549,0.537254901960784,0.525490196078431,137,124,135,1,1,0,0,0,0,0,0,0,bright
117,77,0.596078431372549,0.537254901960784,0.525490196078431,137,124,135,1,1,0,0,0,0,0,0,0,bright
