frame_index,time_s,R_skin_raw,R_normalized,G_skin_raw,G_normalized,B_skin_raw,B_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,clust_agree,quality_score,BVP_pca,BVP_ham_tight,BVP_ham_adapt,BVP_el_tight,BVP_el_adapt,f_p1_adapt,f_p2_adapt,N_ham_mid
1,0,155.374877929688,1.0046485198155,120.881980895996,1.00061154810332,108.435073852539,1.00166659082685,128.131149291992,1,67591,-0.000912740762622183,-0.000453167080364597,-0.000592439268463791,0.000273007521557365,-0.000557457092405638,NaN,0.969325602054596,0.766423537650476,0.370315574558743,0.882481199080844,0.357348650693893,0.0658032170461667,0.387329674069033,0.692553528130164,-0.00145212169002936,-1.01759469769111e-08,-5.54770673380548e-09,3.17603544197857e-05,0.000101303753069984,0.857877065500659,3.2357453557067,61
2,0.0333351478860461,155.29621887207,1.00413991310341,120.877418518066,1.00057378260669,108.547119140625,1.00270160669162,128.084014892578,1,67872,0.000463586196266547,0.000122495081060243,-9.16514063923791e-05,0.000393627017314149,-8.98150340345056e-05,NaN,0.969478189945221,0.76538189533239,0.369224422442244,0.886149989555045,0.358186632394791,0.0610246500940046,0.387862446958982,0.693254471929539,-0.00354076131005708,0.0004958640060776,0.000490322264571581,0.000638324191248843,0.000596345660527483,0.857877065500659,3.2357453557067,61
3,0.0666702957720922,155.296417236328,1.00414119571976,120.851821899414,1.00036190427688,108.537002563477,1.00260815503448,128.15055847168,1,67833,0.000982985621256732,0.000524999723505036,0.000259202212155136,0.000478143192163072,0.000239107179922859,NaN,0.96935623884201,0.76537476842638,0.368625890053514,0.885640797994569,0.358353853225708,0.0618863588886568,0.388144413486061,0.693141078670806,-0.00236766477088452,0.00085450981554061,0.000843573793570995,0.00106705335503235,0.000912075756705936,0.857877065500659,3.2357453557067,61
4,0.100005443658138,155.284713745117,1.00406552135542,120.893676757812,1.00070836165909,108.545356750488,1.0026853266518,128.193542480469,1,67913,-6.9082921202307e-05,0.000642318928833427,0.000380070791854541,0.000516835539156091,0.000356792126124175,NaN,0.969215333461761,0.76546954682216,0.369605230221018,0.886685293503238,0.358167231082916,0.0610115939001462,0.388143654381341,0.693264618582117,-0.00266898613951439,0.000980138197603005,0.000964045866085605,0.00120111176533953,0.000935994902103576,0.857877065500659,3.2357453557067,61
5,0.133340591544184,155.321029663086,1.0043003388093,120.850456237793,1.00035059988909,108.458160400391,1.00187985230082,128.170837402344,1,67947,-8.13100135619582e-05,0.000468600454878452,0.000273176250762331,0.000508526020178173,0.000257685520654904,NaN,0.968800604343414,0.764816695365505,0.367698353128173,0.88131833923499,0.358551472425461,0.0655278415502549,0.385800697602543,0.691839175031423,-0.00403387277773944,0.000847086155709032,0.000826071319446408,0.00101429482688979,0.000644741492254534,0.857877065500659,3.2357453557067,61
6,0.16667573943023,155.413421630859,1.00489774203757,120.864334106445,1.00046547520412,108.376449584961,1.00112505045473,127.81876373291,1,67985,-0.00107748522183801,9.5356438670603e-05,1.21681896331907e-05,0.000458904176898268,-2.10273072791666e-06,NaN,0.96888929605484,0.768017454830722,0.373214679708759,0.88181122482068,0.357530653476715,0.0650608973111794,0.383908215047437,0.692197714419553,-0.00228194519872675,0.000506842178156214,0.000481089416083739,0.000577224481474083,0.000110684347324957,0.857877065500659,3.2357453557067,61
7,0.200010887316277,155.457702636719,1.00518406147083,120.826942443848,1.00015596232949,108.415962219238,1.00149004753791,127.92064666748,1,67663,0.000920768521763454,-0.000333258370059984,-0.000292744320696069,0.000378739478997723,-0.000324833657238793,NaN,0.968670666217804,0.767238618841415,0.373601525205799,0.877634668015617,0.357242226600647,0.0691077473831667,0.38464153229978,0.691486457201383,-0.00151542517744122,7.10928872730289e-05,4.08333619577018e-05,3.28302382642922e-05,-0.000521398386906586,0.857877065500659,3.2357453557067,61
8,0.233346035202323,155.464233398438,1.00522628914741,120.978561401367,1.00141100198619,108.371574401855,1.00108001605887,127.825859069824,1,67818,-0.00377004212827015,-0.000676481374039455,-0.000534902592583037,0.000277322212974132,-0.00060330034788901,NaN,0.968325853347778,0.766325557619904,0.372629685334277,0.879645122378303,0.357235580682755,0.0675901786061714,0.383600224129287,0.691252191109796,-0.00270623879860774,-0.000324174324180317,-0.00035846050648797,-0.000450284168571572,-0.00107948188086042,0.857877065500659,3.2357453557067,61
9,0.266681183088369,155.53581237793,1.00568911632228,120.96508026123,1.00129941062739,108.548194885254,1.00271154385878,127.966567993164,1,67516,8.31006659193778e-05,-0.000839708037345642,-0.000639742725418077,0.000162541548562123,-0.000745761294824597,NaN,0.968028426170349,0.765581491794538,0.372356182238284,0.875727979039392,0.357334107160568,0.0732453921683075,0.383568339356597,0.690117810025885,-0.000974277600565426,-0.00056237616538519,-0.00059961019097061,-0.000732470893685176,-0.00141803158452016,0.857877065500659,3.2357453557067,61
10,0.300016330974415,155.53092956543,1.00565754422764,121.025733947754,1.00180147701248,108.555778503418,1.00278159736345,127.902816772461,1,67805,-0.00142626850568783,-0.000790960683676257,-0.000575419318735143,3.45178292933086e-05,-0.000701472048096347,NaN,0.968002796173096,0.7645503035666,0.370680628272251,0.879476503625303,0.356733798980713,0.0685629791042453,0.384307941892191,0.690802271478353,-0.000677841144801957,-0.000584084625302605,-0.000622301089674113,-0.000748504442014942,-0.00146382642560177,0.857877065500659,3.2357453557067,61
11,0.333351478860461,155.162780761719,1.00327710695458,120.623756408691,0.998474071515954,108.193267822266,0.999432912982767,128.350067138672,1,67876,0.000341156209648308,-0.000553979939481091,-0.000350432732456709,-0.000108719432246181,-0.000468145054226477,NaN,0.958742380142212,0.764094328874222,0.372031351287642,0.880397421430146,0.357650279998779,0.0692763661361661,0.429459602805115,0.697312162789634,-0.00307816672036081,-0.000406400182320495,-0.000442543059590044,-0.000527267750220644,-0.00123720594851116,0.857877065500659,3.2357453557067,61
12,0.366686626746507,155.124359130859,1.00302867403489,120.668922424316,0.99884793730208,108.184135437012,0.999348552776439,128.270751953125,1,67829,-0.00129666231045078,-0.000191915732851785,-7.77406646775155e-06,-0.000271575818242432,-9.729610901697e-05,NaN,0.959591448307037,0.764289610638517,0.372790399386693,0.879787799784687,0.357520878314972,0.0685629791042453,0.429609753940055,0.697707658335795,-0.00358767121089146,-0.00011714677611095,-0.000147112071363888,-0.000180225618659033,-0.00084303076596877,0.857877065500659,3.2357453557067,61
13,0.400021774632553,155.172729492188,1.00334143509741,120.647888183594,0.998673824468913,108.182815551758,0.999336360365667,128.326034545898,1,67532,-0.000377184895902272,0.000205994217698481,0.000379528140975679,-0.000452664629617381,0.000318696795219813,NaN,0.960417509078979,0.763573811921262,0.371675650062193,0.875935509812314,0.357954740524292,0.0734658936145375,0.428478351003968,0.696760266876465,-0.00350691409873793,0.000155076258259373,0.000136156645103756,0.000137795013579324,-0.000434002469170549,0.857877065500659,3.2357453557067,61
14,0.433356922518599,155.166625976562,1.00330196997911,120.686828613281,0.998996157403438,108.057571411133,0.998179420393168,128.138763427734,1,68117,-0.0035256499423566,0.000535033025348595,0.000715767352654555,-0.000642890682208675,0.000664589597661377,NaN,0.960093140602112,0.76471854798851,0.374370568286918,0.88352335369729,0.356839418411255,0.0653073401040248,0.428644831686657,0.698246786668917,-0.00209061165044635,0.000285881403361326,0.000283102276757059,0.000283854550774574,-0.000156933851888216,0.857877065500659,3.2357453557067,61
