frame_index,time_s,R_skin_raw,R_normalized,G_skin_raw,G_normalized,B_skin_raw,B_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,clust_agree,quality_score,BVP_pca,BVP_ham_tight,BVP_ham_adapt,BVP_el_tight,BVP_el_adapt,f_p1_adapt,f_p2_adapt,N_ham_mid
1,0,155.374877929688,1.00408772355485,120.881980895996,0.999581138276761,108.435073852539,1.00025052260475,128.131149291992,1,67591,-0.00120674125621537,-0.000470743748164794,-0.00065403402368826,0.000273392072242204,-0.000645461405142236,NaN,0.969325602054596,0.766423537650476,0.370315574558743,0.882481199080844,0.357348650693893,0.0658032170461667,0.387329674069033,0.692553528130164,-0.000736926680911083,-1.34536941274134e-08,-9.56221358140163e-09,6.06238469888602e-05,-7.3078329775242e-07,0.854215155467523,3.2357453557067,61
2,0.0333351478860461,155.29621887207,1.00357940074777,120.877418518066,0.999543411670278,108.547119140625,1.00128407525503,128.084014892578,1,67872,0.000278214497788837,0.000151702961972981,-0.000108636806847682,0.000399212172255794,-0.000140182443371531,NaN,0.969478189945221,0.76538189533239,0.369224422442244,0.886149989555045,0.358186632394791,0.0610246500940046,0.387862446958982,0.693254471929539,-0.00280899876619941,0.000528650396236564,0.000521100888445862,0.000713638747782512,0.000522502297571745,0.854215155467523,3.2357453557067,61
3,0.0666702957720922,155.296417236328,1.00358068264815,120.851821899414,0.999331751528552,108.537002563477,1.00119075571164,128.15055847168,1,67833,0.000800573094144913,0.000583890319928782,0.00026921372024115,0.000486930357210254,0.000211334090272593,NaN,0.96935623884201,0.76537476842638,0.368625890053514,0.885640797994569,0.358353853225708,0.0618863588886568,0.388144413486061,0.693141078670806,-0.00167499996092826,0.000910005841974124,0.000895182592612245,0.00117350115208817,0.000856251864474016,0.854215155467523,3.2357453557067,61
4,0.100005443658138,155.284713745117,1.00350505052535,120.893676757812,0.999677852135857,108.545356750488,1.0012678182305,128.193542480469,1,67913,-0.000255894406035129,0.000703484706525805,0.000388988807288803,0.000525560870137485,0.000326637962750418,NaN,0.969215333461761,0.76546954682216,0.369605230221018,0.886685293503238,0.358167231082916,0.0610115939001462,0.388143654381341,0.693264618582117,-0.00199821062300489,0.00104133658026379,0.00101972346345511,0.00131792940724485,0.000882959671411697,0.854215155467523,3.2357453557067,61
5,0.133340591544184,155.321029663086,1.00373973690379,120.850456237793,0.999320458781795,108.458160400391,1.00046348258839,128.170837402344,1,67947,-0.000323959142548125,0.000505696806164553,0.000254745472959201,0.000513487127380361,0.000200831252454165,NaN,0.968800604343414,0.764816695365505,0.367698353128173,0.88131833923499,0.358551472425461,0.0655278415502549,0.385800697602543,0.691839175031423,-0.00339881805453796,0.000895332958206348,0.000867511800230959,0.00112142138327237,0.000580030292305289,0.854215155467523,3.2357453557067,61
6,0.16667573943023,155.413421630859,1.00433680666071,120.864334106445,0.999435215800514,108.376449584961,0.999709747814835,127.81876373291,1,67985,-0.00141913397770188,9.32196342500538e-05,-4.72234435834233e-05,0.000456892369453201,-9.94291800234734e-05,NaN,0.96888929605484,0.768017454830722,0.373214679708759,0.88181122482068,0.357530653476715,0.0650608973111794,0.383908215047437,0.692197714419553,-0.00157032791410411,0.00052753986302128,0.000494127687317522,0.000660624588067887,2.57143857277755e-05,0.854215155467523,3.2357453557067,61
7,0.200010887316277,155.457702636719,1.00462296627005,120.826942443848,0.999126021656073,108.415962219238,1.00007422889721,127.92064666748,1,67663,0.000597242965368672,-0.000373953388914508,-0.000389385806216996,0.000367837108948542,-0.000460652333504215,NaN,0.968670666217804,0.767238618841415,0.373601525205799,0.877634668015617,0.357242226600647,0.0691077473831667,0.38464153229978,0.691486457201383,-0.00076269472876991,5.80069428144812e-05,1.97348186468419e-05,8.74242524626923e-05,-0.000626456760314397,0.854215155467523,3.2357453557067,61
8,0.233346035202323,155.464233398438,1.00466517037508,120.978561401367,1.00037976889796,108.371574401855,0.999664777084648,127.825859069824,1,67818,-0.0041794191932325,-0.000741325109438522,-0.000650624645062982,0.000257309490690814,-0.000761154048215742,NaN,0.968325853347778,0.766325557619904,0.372629685334277,0.879645122378303,0.357235580682755,0.0675901786061714,0.383600224129287,0.691252191109796,-0.00198020483463374,-0.000367336768557064,-0.000409436074112435,-0.000420723563829842,-0.00119574602623318,0.854215155467523,3.2357453557067,61
9,0.266681183088369,155.53581237793,1.00512773919914,120.96508026123,1.00026829245371,108.548194885254,1.0012939983739,127.966567993164,1,67516,-0.000243135998799743,-0.000907534956836022,-0.000750149419248068,0.000134953244776458,-0.000901227882581899,NaN,0.968028426170349,0.765581491794538,0.372356182238284,0.875727979039392,0.357334107160568,0.0732453921683075,0.383568339356597,0.690117810025885,-0.000124763814161419,-0.000623536251217227,-0.000667791445408885,-0.0007180694008339,-0.00153055488191475,0.854215155467523,3.2357453557067,61
10,0.300016330974415,155.53092956543,1.00509618472809,121.025733947754,1.00076984182084,108.555778503418,1.00136395284308,127.902816772461,1,67805,-0.00176736102902206,-0.000841965005394387,-0.000659170336785902,2.20684489319189e-06,-0.000830876239844155,NaN,0.968002796173096,0.7645503035666,0.370680628272251,0.879476503625303,0.356733798980713,0.0685629791042453,0.384307941892191,0.690802271478353,0.000130373337840682,-0.000646903465661329,-0.000690734487644638,-0.000737547261431923,-0.00155582524613751,0.854215155467523,3.2357453557067,61
11,0.333351478860461,155.162643432617,1.00271618874908,120.622207641602,0.99743305596212,108.191062927246,0.997999663663323,128.350067138672,1,67876,9.04659185132772e-05,-0.000575467564666508,-0.000395490901706765,-0.000142179251252744,-0.000555649517200854,NaN,0.958742380142212,0.764094328874222,0.372031351287642,0.880397421430146,0.357650279998779,0.0692763661361661,0.429459602805115,0.697312162789634,-0.00263391348792436,-0.000455525487685964,-0.000495265168270348,-0.000510495221353489,-0.00129447131146139,0.854215155467523,3.2357453557067,61
12,0.366686626746507,155.124389648438,1.00246897918994,120.666191101074,0.997796758113252,108.180114746094,0.997898673056408,128.270751953125,1,67829,-0.00154994071732759,-0.000180082009962581,-1.27039378029993e-05,-0.000302629799384484,-0.000138095577663033,NaN,0.959591448307037,0.764289610638517,0.372790399386693,0.879787799784687,0.357520878314972,0.0685629791042453,0.429609753940055,0.697707658335795,-0.00310350896875817,-0.000142867598330798,-0.000173842241328181,-0.000153875986218737,-0.000857271979808846,0.854215155467523,3.2357453557067,61
13,0.400021774632553,155.173202514648,1.00278442529273,120.644470214844,0.997617146660646,108.177680969238,0.99787622287968,128.326034545898,1,67532,-0.000643389266345523,0.000247603653052909,0.000408426140786235,-0.000478315523283974,0.000319622737970639,NaN,0.960417509078979,0.763573811921262,0.371675650062193,0.875935509812314,0.357954740524292,0.0734658936145375,0.428478351003968,0.696760266876465,-0.00301933310602886,0.000154242870130103,0.000137380562940613,0.000170966693920637,-0.000404315480538494,0.854215155467523,3.2357453557067,61
14,0.433356922518599,155.168334960938,1.0027529694294,120.683303833008,0.997938264431551,108.051902770996,0.996715992116199,128.138763427734,1,68117,-0.00387915765453425,0.000598423104909706,0.000768987328555546,-0.000661023856500013,0.00069658573375142,NaN,0.960093140602112,0.76471854798851,0.374370568286918,0.88352335369729,0.356839418411255,0.0653073401040248,0.428644831686657,0.698246786668917,-0.00162356569581381,0.000303429597435759,0.000306107191088036,0.000315689487198883,-8.91860333545246e-05,0.854215155467523,3.2357453557067,61
15,0.466692070404645,155.183166503906,1.00284881613521,120.625610351562,0.997461193197056,108.228874206543,0.998348450735009,128.413177490234,1,68081,0.000834094480541447,0.000769518246262718,0.000970483627024582,-0.000828771342949461,0.000889605525822611,NaN,0.961195707321167,0.766249026894435,0.376874605249629,0.880782964189609,0.35756915807724,0.0691109501138481,0.423392723373628,0.697169524865689,-0.000925110053478395,0.000224969878396493,0.000252006356306186,0.000198412555682408,-5.4379644077748e-06,0.854215155467523,3.2357453557067,61
16,0.500027218290691,155.163040161133,1.00271875254985,120.634712219238,0.99753645714611,108.174819946289,0.997849831606096,128.248092651367,1,68473,-0.000480171071180313,0.00069900629473572,0.000947670123455228,-0.000950645215128237,0.000845726590719251,NaN,0.961082994937897,0.76561077602364,0.376776247572036,0.885854377975574,0.358175247907639,0.0640654108880149,0.42307186774349,0.697756811745818,-0.00372846037301626,-7.59764455326227e-05,-2.11008752038002e-05,-0.000164350684487824,-0.000152886240615234,0.854215155467523,3.2357453557067,61
17,0.533362366176737,155.130737304688,1.00251000000231,120.643135070801,0.997606106265772,108.19800567627,0.99806370648722,128.256011962891,1,67769,-0.000534903418731802,0.00040700834546553,0.000706728300781405,-0.000988058190332964,0.00059390671492181,NaN,0.961323618888855,0.765226972017688,0.376056899172188,0.876746532808942,0.357743620872498,0.0733414406955082,0.423172837137924,0.696276236042055,-0.00253385540309416,-0.000504846581989222,-0.000420521385137349,-0.000657529254697097,-0.000434356435308853,0.854215155467523,3.2357453557067,61
18,0.566697514062784,155.061431884766,1.00206212372883,120.681144714355,0.99792041053584,108.156723022461,0.997682898003586,128.175704956055,1,67923,-0.00276481990184191,1.63607781794806e-05,0.000347348382792011,-0.000906984432023355,0.000247671443516706,NaN,0.961715459823608,0.765734729031403,0.377559883986279,0.878738873939143,0.357862025499344,0.0707281101221279,0.422478394652769,0.696754992073196,-0.00363895325363378,-0.000904048013007812,-0.000790853694678175,-0.0011017807536527,-0.000686663961403912,0.854215155467523,3.2357453557067,61
19,0.60003266194883,155.121170043945,1.00244817296059,120.631042480469,0.9975061118322,108.151008605957,0.997630185833147,128.234497070312,1,67843,-0.00107327533708229,-0.000271876170060079,4.73069249348082e-05,-0.000685832640626952,-1.75823219450521e-05,NaN,0.961425185203552,0.765998948552786,0.377386023613343,0.877703891533844,0.358015447854996,0.0722417718898779,0.422755479563109,0.696548498421687,-0.00348403316010092,-0.00110307038291677,-0.000963824186115767,-0.00131217682393571,-0.000736770892456421,0.854215155467523,3.2357453557067,61
20,0.633367809834876,155.102005004883,1.00232432166172,120.715087890625,0.998201088917521,108.096160888672,0.99712424752436,128.006576538086,1,68153,-0.00440506038691049,-0.00025040748867284,3.87067267616371e-06,-0.00032771588106508,-2.35703936244983e-05,NaN,0.96150940656662,0.765879711824865,0.377562249644183,0.881714448354378,0.358406752347946,0.0679336576278203,0.4217862749989,0.697041163785957,-0.00332367443565597,-0.000976827869843104,-0.000816383133692976,-0.00116115497528779,-0.000463523664530324,0.854215155467523,3.2357453557067,61
21,0.666702957720922,155.095657348633,1.00228330084935,120.590141296387,0.997167897221233,108.042617797852,0.996630343636328,128.269989013672,1,67461,-0.00201286773030454,0.000201149518275524,0.000350075780290984,0.000137239608982432,0.000343805725578173,NaN,0.960761725902557,0.766067308024884,0.377062302663761,0.872761850548541,0.35919713973999,0.076743945352929,0.367145461822386,0.684553954188625,-0.00407004903576035,-0.000493087599940527,-0.000317951983288742,-0.000625922851121172,0.000154584202432261,0.854215155467523,3.2357453557067,61
22,0.700038105606968,155.123901367188,1.00246582374283,120.622970581055,0.997439364759191,107.988212585449,0.996128487177855,128.038635253906,1,67974,-0.00361576879942352,0.00104511819867691,0.00108189931108159,0.000648841617839463,0.00107250689531377,NaN,0.960099220275879,0.766749051107776,0.37860064142172,0.879398675222521,0.35884553194046,0.0694473193955703,0.367361049813164,0.685735254149867,-0.00329195467587281,0.000267518147861114,0.000449653673501701,0.000195456416103503,0.00102176369544885,0.854215155467523,3.2357453557067,61
23,0.733373253493014,155.059722900391,1.00205107966396,120.533172607422,0.996696819343956,108.090713500977,0.997073998539457,128.275390625,1,67691,9.782886413498e-05,0.00207445995029116,0.00203317101002345,0.00112850500931191,0.002008197036734,NaN,0.960240542888641,0.766399275137512,0.376830006943316,0.875737424963776,0.35909429192543,0.0737166218174291,0.367729831144465,0.685091297487767,-0.00402701272660409,0.00112710677450227,0.0013079389450314,0.00110634780163009,0.00194523731466436,0.854215155467523,3.2357453557067,61
24,0.76670840137906,155.105285644531,1.00234552232195,120.517883300781,0.996570391050657,108.058731079102,0.996778979289152,128.177581787109,1,67822,0.000299047504757372,0.00297312240430502,0.00291647257603191,0.00148958574645306,0.00288457489591813,NaN,0.95952296257019,0.766324594772591,0.376500250656129,0.877432208652453,0.359158396720886,0.0722805837300766,0.367520863436643,0.685084938887582,-0.00319192000923967,0.00185840729225289,0.00202953676173993,0.00186587652468211,0.00268782687824615,0.854215155467523,3.2357453557067,61
25,0.800043549265106,155.023773193359,1.00181875987085,120.543151855469,0.996779338409642,108.026458740234,0.996481285723125,128.274490356445,1,67387,-0.00152315234835243,0.00342630168833992,0.00341879017515876,0.00165684006086353,0.00340593023329112,NaN,0.959984600543976,0.766042906396387,0.375844005520353,0.871804491823639,0.359184205532074,0.0792020285655144,0.367014409307433,0.683935288706276,-0.00449867779654816,0.00225081449511066,0.00240428461275741,0.00225983738073187,0.00303798141247788,0.854215155467523,3.2357453557067,61
26,0.833378697151152,155.03971862793,1.00192180494037,120.532279968262,0.996689438051383,108.059646606445,0.996787424496699,128.255249023438,1,67384,-0.000534711062870064,0.00323587440377413,0.00331511093257708,0.00158254168658242,0.0033470840256226,NaN,0.959574401378632,0.765587280857968,0.373708892318651,0.87176567998344,0.359453946352005,0.0790985303249845,0.369390359729313,0.684233363610117,-0.00470826298617986,0.00217399897197551,0.00230277757111428,0.0021650643190443,0.00287415334245659,0.854215155467523,3.2357453557067,61
27,0.866713845037198,155.058135986328,1.00204082446087,120.536170959473,0.996721612916444,108.040328979492,0.99660923061746,128.283630371094,1,67105,-0.000828691181076535,0.00239443696822505,0.00255409692622707,0.00125881273515058,0.00263758904442298,NaN,0.959821939468384,0.765472021458908,0.373489307801207,0.86815617884496,0.359076589345932,0.0831478989857172,0.369346546457045,0.683615534612572,-0.00366971836695444,0.00161879094242381,0.00171714669191207,0.0015866789625928,0.00220264650052255,0.854215155467523,3.2357453557067,61
28,0.900048992923244,155.126678466797,1.00248377034824,120.52075958252,0.996594175215614,107.95336151123,0.995807006277237,128.107147216797,1,67387,-0.00140309552144269,0.00108881340641438,0.00128133984199657,0.000724236326614264,0.00139796448363837,NaN,0.960320591926575,0.766018173633886,0.375294938192826,0.871804491823639,0.359051436185837,0.0793055268060443,0.368409337112499,0.684276765841954,-0.00410884374461372,0.00070216918325609,0.000765953863872979,0.000658079180069296,0.00115850562071595,0.854215155467523,3.2357453557067,61
29,0.933384140809291,155.269790649414,1.0034086121732,120.727714538574,0.998305499509043,107.779960632324,0.99420748396786,127.735641479492,1,67105,-0.00888700331526515,-0.000367571449297075,-0.000208220530441124,5.78258427317345e-05,-9.29029305330009e-05,NaN,0.960890233516693,0.767453990015647,0.380210118471053,0.86815617884496,0.35962587594986,0.0847779962740633,0.365352805305119,0.683219438039476,-0.00138670239250724,-0.00036526217505387,-0.000338468126120724,-0.000396218455836405,-3.08098677683903e-05,0.854215155467523,3.2357453557067,61
30,0.966719288695337,155.227493286133,1.00313527156772,120.635955810547,0.997546740485336,107.809906005859,0.994483712631372,127.792259216309,1,67644,-0.00621038330541912,-0.00164387452256503,-0.00156828155945198,-0.000630350662120663,-0.00148102938486896,NaN,0.960996270179749,0.76757731653953,0.380994618887115,0.875129372800662,0.359188467264175,0.0753725936659077,0.366418307610431,0.684988577388384,-0.00211165584485258,-0.00133874754614641,-0.00134963421522942,-0.00132457308350199,-0.00110899736021905,0.854215155467523,3.2357453557067,61
31,1.00005443658138,155.201522827148,1.00296744122482,120.676887512207,0.997885207448185,107.813049316406,0.99451270784395,127.785781860352,1,67458,-0.00743626935774597,-0.0024949352099763,-0.00251051864951735,-0.00122286352783158,-0.00245371536456875,NaN,0.960321485996246,0.764767213179559,0.376115508909247,0.872723038708342,0.358872205018997,0.0767827571931277,0.392377479320466,0.689224068848166,-0.00193421090972157,-0.0020067444003982,-0.0020544604061257,-0.00191880550138213,-0.00186155870727803,0.854215155467523,3.2357453557067,61
32,1.03338958446743,155.194976806641,1.00292513851207,120.633651733398,0.997527687918182,107.821723937988,0.994592726185457,127.804878234863,1,67507,-0.00616630907437185,-0.00281794111478005,-0.0028857231759197,-0.00161267896127321,-0.00283345821782337,103,0.960089206695557,0.764577500604876,0.373916779000696,0.873356965431588,0.359777182340622,0.0757995239080936,0.393188854489164,0.689447648867402,-0.00414923291322712,-0.00224507573745565,-0.00232748393161462,-0.00206755886341292,-0.00216945098124248,0.854215155467523,3.2357453557067,61
33,1.06672473235347,155.135116577148,1.00253830041853,120.669845581055,0.997826977251221,107.799301147461,0.994385888977288,127.984390258789,1,66937,-0.00795350884447674,-0.0026515382367795,-0.00271280431955074,-0.00172742414707059,-0.00262995012409349,103,0.960764229297638,0.763738042238722,0.373664789279472,0.865982715793831,0.358915328979492,0.0843381287518112,0.391188729701062,0.687682311112076,-0.00308447052553837,-0.00204207858941104,-0.00215610613585177,-0.00177879716333307,-0.00203220407810635,0.854215155467523,3.2357453557067,61
34,1.10005988023952,155.156097412109,1.00267388603633,120.595603942871,0.997213068208261,107.73193359375,0.993764462455297,127.809875488281,1,67640,-0.00695991689495509,-0.00213530596223955,-0.00215336028088414,-0.00154141969983827,-0.00201986350010698,103,0.961608290672302,0.764217425586438,0.375206978119456,0.875077623680397,0.358109980821609,0.0729403850134548,0.391809580130101,0.689937012209231,-0.001684692379567,-0.00148921498340332,-0.00163122871576768,-0.00116696668685215,-0.00155593462505152,0.854215155467523,3.2357453557067,61
35,1.13339502812557,155.11408996582,1.00240241897757,120.636833190918,0.997553995601967,107.762588500977,0.994047236154658,127.84895324707,1,67402,-0.00783729332937208,-0.00145671747754619,-0.00144671800241193,-0.00108373837623496,-0.00127445462505043,103,0.96114706993103,0.763666755684797,0.375463636093884,0.871998551024633,0.357890725135803,0.0764851997516042,0.392599626123854,0.689302411884231,-0.00279775110613695,-0.000743359754072729,-0.000909523961960361,-0.000410359012735628,-0.000911625501922865,0.854215155467523,3.2357453557067,61
36,1.16673017601161,155.282424926758,1.00349025936705,120.802726745605,0.998925780437045,107.994171142578,0.996183451403639,127.903358459473,1,68100,-0.00705904691598774,-0.000802764440979624,-0.000828792178078341,-0.000432385593375767,-0.000655273772541022,103,0.963684141635895,0.765403817914831,0.37798825256975,0.882170060624903,0.357399135828018,0.0655344836520027,0.38697503671072,0.690911288949764,-0.000568609626095003,2.41731628637251e-05,-0.000162410439720251,0.000305688787688298,-0.000279258744400017,0.854215155467523,3.2357453557067,61
37,1.20006532389766,155.241394042969,1.0032251032025,120.78621673584,0.998789258068433,108.058456420898,0.996776445726889,128.067779541016,1,67258,-0.00580073548974253,-0.000319992056250658,-0.000459408026846343,0.000298002383006405,-0.000324266183352771,103,0.964076399803162,0.765098575634125,0.377367748074579,0.871262759728483,0.357246547937393,0.0787994196590497,0.386719795414672,0.688774867015102,-0.000181025272493154,0.000673848024440652,0.00047025536180987,0.000840279681382712,0.000202837212105424,0.854215155467523,3.2357453557067,61
38,1.23340047178371,155.152923583984,1.00265337563014,120.759651184082,0.998569585754427,108.116027832031,0.997307508528127,127.955863952637,1,67698,-0.00473550994747557,-8.31678966226238e-05,-0.000379586744907674,0.00097724098639858,-0.000298433755703847,103,0.963355541229248,0.764862575950053,0.380572542763449,0.876962536919011,0.356824398040771,0.0718819627959998,0.386761795030872,0.689662645456137,-0.001224993982033,0.00112504783506926,0.00090745520643064,0.00112742206342822,0.000467981774369939,0.854215155467523,3.2357453557067,61
39,1.26673561966975,155.146362304688,1.00261097430967,120.734657287598,0.998362909562387,108.086479187012,0.997034939454552,127.980392456055,1,67590,-0.00461351706591012,-7.94442972195579e-05,-0.000512981032431353,0.00148278956866423,-0.000468028535387535,103,0.963293373584747,0.764417813285989,0.381328598905163,0.875563500699518,0.356600075960159,0.0733975853671175,0.386595650244119,0.68928242244347,-0.00106699538480728,0.00135837524599026,0.0011294550413272,0.0011783804596485,0.000523676342484085,0.854215155467523,3.2357453557067,61
