frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,quality_score
1,0.0,120.15385437011719,0.9977498696832183,117.07205200195312,1.0,56501.0,-0.002484961775956751,-0.0004156877983198917,-0.00043119106396313,0.0003898886264162696,-0.0004276404720702057,,0.9602516889572144,0.9383668725627275,0.8889046211571476,0.7379192351896353,0.34776464104652405,0.2229913279699091,0.7780689592338644
2,0.03333514788604609,120.15617370605469,0.9977691292994956,117.05643463134766,1.0,56700.0,-0.00048163130542738797,0.00027414656372698313,0.00010960480307661004,0.0005286531795345787,4.502820392542601e-05,,0.9585543274879456,0.9385008818342152,0.8859259259259259,0.7380025771518567,0.35019180178642273,0.22271538091085397,0.7776484425227667
3,0.06667029577209219,120.16641235351562,0.9978541503687192,116.97743225097656,1.0,57140.0,-0.0008922833620224058,0.0006869015053767541,0.00039337848662802265,0.0006121221693230492,0.0003026038723802614,,0.957923948764801,0.9369618480924046,0.8834791739586979,0.739006725297465,0.35118407011032104,0.22259441282979825,0.7770987640865819
4,0.10000544365813828,120.1976318359375,0.99811339494045,116.93852996826172,1.0,57223.0,-0.0022718996523092283,0.000664013102364567,0.0002980980209488247,0.000623153045497387,0.00024083108373144962,,0.957999050617218,0.937979483774007,0.8841724481414815,0.73870443044511,0.35130074620246887,0.22277445006712795,0.7773396961152416
5,0.13334059154418437,120.17037963867188,0.9978870944491932,116.98812866210938,1.0,57091.0,-0.0024470539787378454,0.000233438317465938,-0.00013733909192118477,0.0005568354362697883,-0.00012571081637632918,,0.9589669704437256,0.9360144330980366,0.8844301203342033,0.7370004130951151,0.35101160407066345,0.22311008984818753,0.7770716814379893
6,0.16667573943023045,120.20680236816406,0.998189546449546,116.45872497558594,1.0,56972.0,-0.006526343355771236,-0.00042294796396771675,-0.0007467727464428051,0.0004192610536499575,-0.0006809277116862926,,0.9570109844207764,0.9399822134849868,0.8877343256336446,0.7356446510426754,0.34892794489860535,0.22444315320550068,0.7772102180563794
7,0.20001088731627656,120.12435150146484,0.9975048797616926,116.6701889038086,1.0,56921.0,-0.00316586429327248,-0.0010690145670258205,-0.0013245046782732893,0.0002270735150451177,-0.001257031675987028,,0.9572142958641052,0.9406253111036934,0.8871066917306443,0.7348343037141271,0.3486911654472351,0.22437097378035398,0.7774464217790842
8,0.23334603520232264,120.28763580322266,0.9988607820892061,116.7488021850586,1.0,56986.0,-0.01023247036654984,-0.0015214838094469035,-0.0017157801773238892,-2.02504301243251e-06,-0.0017018976602900095,,0.9569082856178284,0.9403596204915828,0.8864633418734426,0.7353506677850183,0.3492317199707031,0.2241305890702626,0.7773362729941916
9,0.26668118308836875,120.14781188964844,0.9976996933144963,117.06246185302734,1.0,56837.0,-0.003571624614903235,-0.0017080923118454976,-0.0018635010546953063,-0.0002471723078433885,-0.0019182683387657517,,0.9588947892189026,0.938027458639032,0.8890687404331685,0.7335888897493482,0.3491157293319702,0.22432174294638477,0.7773109528361519
10,0.3000163309744148,120.20304870605469,0.9981583762810975,117.07186126708984,1.0,56829.0,-0.005952401080313308,-0.0016562406841832268,-0.001796254611761697,-0.0004952854920541265,-0.0018854929968261929,,0.9586895108222961,0.9379366168681483,0.8892114941315173,0.7336560805577073,0.3484986424446106,0.223715466046992,0.7773479142543275
