frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm
1,0,140.345022071224,1.00164271169166,117.560636935909,1,-0.00814681076005039,0.000465790550682916,6.9756771446439e-05,0.000496511750653165,8.21557977454298e-05,NaN
2,0.033334721517092,139.945341560164,0.998790191060727,117.741074240277,1,-0.00541042467195982,0.00138360669231569,0.000888775950587334,0.000679155423539357,0.000899111182424872,NaN
3,0.066669443034184,140.47657627631,1.00258161432442,118.066394517742,1,-0.00783407250187326,0.00215108241559261,0.00160167413743632,0.000781677869377049,0.00161255353872977,NaN
4,0.100004164551276,140.022879676071,0.999343580753711,117.778129530459,1,-0.00317952995114199,0.00266333533848743,0.00212356619712056,0.000790293440323944,0.00213303810618745,NaN
5,0.133338886068368,139.953806957356,0.998850608617924,117.732270359548,1,-0.00599743036776831,0.00284259093250178,0.00233231901908305,0.000700217573817319,0.00233691570198055,NaN
6,0.16667360758546,140.127305199263,1.00008886592789,117.6279747032,1,-0.00261938200139497,0.00264978970959364,0.00208871414855826,0.000521805972044164,0.0020855210288137,NaN
7,0.200008329102552,140.217796816854,1.00073470478909,117.586280156411,1,-0.00350127951524046,0.00212352145323188,0.00136089538096713,0.000274584699895102,0.00135274062162632,NaN
8,0.233343050619644,140.267488751811,1.00108935623127,117.649076073914,1,-0.00370480078905952,0.0014273319700353,0.000387105783657633,-1.12369727786147e-05,0.0003843954660761,NaN
9,0.266677772136736,141.214751322285,1.00784997114849,117.835084234843,1,-0.00798559236206528,0.000812149638349697,-0.00036760397654785,-0.000301098811803807,-0.000366092392900416,NaN
10,0.300012493653828,140.459809381873,1.00246194896428,117.897257160604,1,-0.00506170398683023,0.00043016614049239,-0.000610883975072205,-0.000557702377163189,-0.000618890301865131,NaN
11,0.33334721517092,140.443030138609,1.00234219547053,117.737526525762,1,-0.00208743881488857,0.000199812888278359,-0.00052413835003632,-0.000748714404240815,-0.00054371445048545,NaN
12,0.366681936688012,140.2644980057,1.00106801127011,117.989628594418,1,-0.00400184004771895,-7.38346046004343e-05,-0.000507433252057813,-0.000849257404135848,-0.00052538271263388,NaN
13,0.400016658205104,140.50615521042,1.00279271923811,117.900515771238,1,-0.00515415171135777,-0.000503214330977376,-0.000771123217797909,-0.000844817941420673,-0.000784740623262243,NaN
14,0.433351379722196,140.297358779182,1.00130253867816,117.786636674872,1,-0.00412674814671074,-0.00109441729718642,-0.00132069981296162,-0.00073439952610055,-0.0013391274114992,NaN
15,0.466686101239288,140.16626640399,1.0003669321263,117.912440351152,1,-0.00363191289508566,-0.00180197226829635,-0.00210879261814403,-0.000530636100291545,-0.00213550452774539,NaN
