frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm
1,0,120.964618010661,0.999327660208304,125.777830692412,1,92392,-0.00951240656857344,0.000241274909908888,-0.000601674234956055,-8.10412776375087e-05,-0.000456826678500646,NaN
2,0.0333333333333333,120.919256771509,0.99895291640527,126.055566202462,1,93924,-0.00124031516347189,0.00304597129993189,0.00184832317350591,0.00143751297905959,0.00183788604636403,NaN
3,0.0666666666666667,120.87750036899,0.998607953318422,125.422955210662,1,92589,-0.00298100773845977,0.00512545765898635,0.00364954689002282,0.00279998131178451,0.00354908399313871,NaN
4,0.1,120.780899301408,0.997809900793414,124.820458811561,1,93052,0.00246260706638601,0.00606235484798634,0.004434517752131,0.00387658030896573,0.00435295930730867,NaN
5,0.133333333333333,120.857879982635,0.998445862988943,125.083037449879,1,92942,-0.00395852186593659,0.0058583254687226,0.00419448464082749,0.00457507133230693,0.00420168823965912,NaN
6,0.166666666666667,120.963393925342,0.999317547645323,125.951071297038,1,92318,-0.013103693975419,0.00484832605839619,0.00322037767559829,0.00485027011219514,0.00330031305720227,NaN
7,0.2,120.716961495024,0.997281689986791,125.165731703363,1,92517,-0.000219470893670692,0.00347758084889216,0.00192556313450574,0.00470235533767089,0.00199684775132957,NaN
8,0.233333333333333,120.9367261425,0.999097236504194,125.775367832228,1,93317,-0.00943355714855709,0.00209118506246426,0.000658163611724566,0.00416218766543041,0.000635630270460755,NaN
9,0.266666666666667,120.671844312491,0.99690896241407,124.813605294564,1,92170,0.00104603773779077,0.000850178493605635,-0.000401744919597492,0.00329520940505849,-0.00053809216259946,NaN
10,0.3,121.000242865509,0.999621968605468,127.03408507459,1,94137,-0.00707154321192505,-0.000218339850002192,-0.00123144372876831,0.00217825647572148,-0.00143007055126185,NaN
11,0.333333333333333,120.822696673184,0.998155202340482,125.636581478193,1,93479,-0.0045430999903,-0.00111993022914445,-0.00188422398142028,0.000908781600760083,-0.00205685483017623,NaN
12,0.366666666666667,121.204370738717,1.00130833469558,128.569783133379,1,94605,-0.0104611275243949,-0.00183599452611365,-0.00241027543865175,-0.000409450326219051,-0.00249814951471932,NaN
13,0.4,121.19128684697,1.00120024445282,128.3393449683,1,94428,-0.0122073209619753,-0.00234636287268876,-0.00282912478867661,-0.00166079166361716,-0.00283531583852988,NaN
14,0.433333333333333,121.012076588365,0.99971973080046,126.658270468397,1,93852,-0.0090129856822454,-0.00268854330116304,-0.00315106231203717,-0.00272644189308528,-0.00312839748570697,NaN
15,0.466666666666667,121.046852552935,1.00000702624169,128.629187072898,1,93313,-0.00948450634332998,-0.00297821902385759,-0.00340588175298118,-0.00349281819595957,-0.00341075845587944,NaN
16,0.5,120.892784693811,0.998734222047351,125.927360300042,1,93498,-0.00618386848231856,-0.00335018896103534,-0.00363758131721264,-0.00386443709600175,-0.00368868623332408,NaN
17,0.533333333333333,121.006484718856,0.999673534565858,126.528780756947,1,94247,-0.00871470788590711,-0.00384949451294816,-0.00385864037193223,-0.00378546565396338,-0.0039347437827252,NaN
18,0.566666666666667,121.125858461387,1.00065971949146,127.49942995128,1,94144,-0.0111212072163074,-0.00435161427782469,-0.00399756084506571,-0.00325547262189429,-0.00406917729711964,NaN
19,0.6,120.955815138576,0.999254936847467,126.159769979715,1,93499,-0.00965531676682518,-0.00458067147992067,-0.00388765657638604,-0.00234315470212379,-0.0039550810726633,NaN
20,0.633333333333333,121.201267158327,1.00128269501862,127.788396375726,1,94143,-0.0155352427587245,-0.00423332561971303,-0.00332302696770419,-0.00118857436887515,-0.00342652448841799,NaN
21,0.666666666666667,121.04974796862,1.000030946203,127.027095101069,1,93830,-0.0126034958031163,-0.00314616561263216,-0.0021644490188848,1.49310693006895e-05,-0.0023518396859791,NaN
22,0.7,120.94681079483,0.99918054906437,126.112144796897,1,93409,-0.00847249045725684,-0.00141246256222141,-0.000442430667074285,0.00104788128272915,-0.000721424255432219,NaN
23,0.733333333333333,121.006922915189,0.999677154646862,127.052674002819,1,93873,-0.00651415127043098,0.000619099953772666,0.00160027550912469,0.00170999248562051,0.00129122745724481,NaN
24,0.766666666666667,120.942430432444,0.999144361480213,126.319560109901,1,93781,-0.00705076732495202,0.00246420681448755,0.00355634724462772,0.0018648082365708,0.00332743260160866,NaN
25,0.8,120.896196992017,0.998762412141592,125.478746009204,1,93653,-0.00855584446764723,0.00368008871422569,0.0049781116095896,0.00147770820709388,0.00492573258521535,NaN
