frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm
1,0,120.894748485204,0.999689162005615,125.334348228757,1,86380,-0.00609450089254437,0.000143978680959934,-0.00129279713705357,-0.000458667495373783,-0.000887030319092366,NaN
2,0.0333333333333333,120.850053320006,0.999319573807601,125.257846849872,1,86351,-0.00709119701277516,0.000372897849445305,-0.0018323625021446,0.000797711039343589,-0.00154648166048823,NaN
3,0.0666666666666667,120.800558986687,0.998910300872093,124.446375393599,1,85853,-0.00410473699047609,0.000661045100322627,-0.00193220427683106,0.00198764952993279,-0.00169198286762465,NaN
4,0.1,120.740550416364,0.998414084798765,124.736057583314,1,88220,0.0075790595629055,0.00108010295422195,-0.00141147258229029,0.00302860130872106,-0.00111977871322442,NaN
5,0.133333333333333,120.785367996818,0.998784685259154,124.256455805226,1,86692,-0.00217225941822541,0.00164359577230054,-0.000396026538348365,0.00384844044100229,-1.91718791128683e-05,NaN
6,0.166666666666667,120.862064336831,0.999418893947593,122.444859068183,1,82806,-0.0280597264854843,0.00222147773110712,0.000691207939490299,0.00438649639583908,0.00108803544490378,NaN
7,0.2,120.69834473809,0.998065082384066,124.755436290946,1,88878,0.00989007426617561,0.00249997502428365,0.00127278182521465,0.00460332334976912,0.00158045782791883,NaN
8,0.233333333333333,120.876556389603,0.999538729989049,125.156459945371,1,87622,-0.00525744169819808,0.00207862789866291,0.000859383750073129,0.00446053657687381,0.00100012120483629,NaN
9,0.266666666666667,120.641032759925,0.997591164665206,124.740133507309,1,88135,0.0115924785720547,0.00070052873434333,-0.000701508628802729,0.00395870752954023,-0.000699667776496049,NaN
10,0.3,120.928643300484,0.99996944117331,126.156122954312,1,86829,-0.0101981329337899,-0.00152185381431063,-0.00309774654279775,0.00311009322406523,-0.00313398284933964,NaN
11,0.333333333333333,120.750546936304,0.998496746889279,124.706135271793,1,87217,-0.00312108730401239,-0.00406136131879471,-0.00563569121871524,0.00197702507124395,-0.00560150002981478,NaN
12,0.366666666666667,121.15895054652,1.00187387176833,127.576982863209,1,87920,-0.0146584512651764,-0.00618017858788226,-0.00752142098034594,0.000651358462061645,-0.00739129318471347,NaN
13,0.4,121.124096706475,1.00158566234167,127.63012436141,1,87889,-0.0136786102099715,-0.00728145184182817,-0.00821234177448417,-0.000729567355800464,-0.00805587665694774,NaN
14,0.433333333333333,120.962312651702,1.00024785595911,125.832862464304,1,87427,-0.0100242898353924,-0.00720179650967377,-0.00765877334428322,-0.00200630316413813,-0.00759147469669982,NaN
15,0.466666666666667,121.013956132097,1.00067490037821,128.069195941728,1,88642,-0.00438757342561957,-0.00626975426541011,-0.00630350681607043,-0.00301118599766265,-0.00639858256789825,NaN
16,0.5,120.829156851857,0.999146779099852,125.134662127451,1,86946,-0.00649055396478926,-0.00509798503509948,-0.0048348118456638,-0.00360016627392745,-0.00507363199672361,NaN
17,0.533333333333333,120.982687138362,1.00041633435665,126.184978350172,1,90070,-0.00109137603680387,-0.0042353325569578,-0.00382296773469842,-0.0036799660456394,-0.00411218767764596,NaN
18,0.566666666666667,121.115530991239,1.00151483169937,127.124805237022,1,89211,-0.00713795078137558,-0.00388022887308221,-0.00343401172755193,-0.00324040719074664,-0.00368336768555641,NaN
19,0.6,120.902841655934,0.999756085136411,125.549318778321,1,87759,-0.00581183873464597,-0.00381018845680438,-0.00337044177603955,-0.00236331527401243,-0.0035640231943312,NaN
20,0.633333333333333,121.18811048736,1.00211499784857,127.351164009282,1,89060,-0.0114469449463603,-0.00355089871671125,-0.00306319754380891,-0.00122684609310705,-0.00328129435314597,NaN
