frame_index,time_s,R_skin_raw,R_normalized,G_skin_raw,G_normalized,B_skin_raw,B_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm,bisenet_conf,vote_mean,highconf_pct,roi_coverage,green_cv,hair_rej_frac,clust_agree,quality_score,BVP_pca
1,0.0,155.3748779296875,1.0040877235548509,120.8819808959961,0.9995811382767614,108.43507385253906,1.0002505226047527,128.1311492919922,1.0,67591.0,-0.0012067412562153657,-0.00047074374816479436,-0.0006540340236882602,0.00027339207224220366,-0.0006454614051422358,,0.969325602054596,0.7664235376504762,0.37031557455874303,0.882481199080844,0.35734865069389343,0.0658032170461667,0.38732967406903285,0.6925535281301642,-0.0007369266809110833
2,0.03333514788604609,155.2962188720703,1.0035794007477652,120.8774185180664,0.9995434116702779,108.547119140625,1.0012840752550303,128.08401489257812,1.0,67872.0,0.0002782144977888368,0.0001517029619729812,-0.00010863680684768179,0.0003992121722557936,-0.00014018244337153115,,0.969478189945221,0.7653818953323904,0.36922442244224424,0.8861499895550449,0.35818663239479065,0.061024650094004596,0.3878624469589816,0.6932544719295389,-0.0028089987661994147
3,0.06667029577209219,155.29641723632812,1.0035806826481517,120.85182189941406,0.9993317515285521,108.53700256347656,1.0011907557116375,128.1505584716797,1.0,67833.0,0.000800573094144913,0.0005838903199287818,0.0002692137202411498,0.00048693035721025405,0.00021133409027259344,,0.9693562388420105,0.7653747684263804,0.36862589005351376,0.8856407979945686,0.358353853225708,0.061886358888656776,0.3881444134860614,0.6931410786708059,-0.001674999960928264
4,0.10000544365813828,155.2847137451172,1.0035050505253515,120.8936767578125,0.999677852135857,108.54535675048828,1.0012678182305026,128.19354248046875,1.0,67913.0,-0.0002558944060351287,0.0007034847065258045,0.00038898880728880286,0.000525560870137485,0.000326637962750418,,0.9692153334617615,0.7654695468221596,0.36960523022101804,0.8866852935032379,0.35816723108291626,0.06101159390014623,0.38814365438134085,0.6932646185821171,-0.0019982106230048893
5,0.13334059154418437,155.32102966308594,1.0037397369037926,120.85045623779297,0.9993204587817954,108.45816040039062,1.000463482588393,128.17083740234375,1.0,67947.0,-0.00032395914254812475,0.000505696806164553,0.00025474547295920057,0.000513487127380361,0.00020083125245416464,,0.9688006043434143,0.7648166953655055,0.36769835312817345,0.8813183392349897,0.3585514724254608,0.06552784155025487,0.38580069760254315,0.6918391750314226,-0.0033988180545379554
6,0.16667573943023045,155.41342163085938,1.004336806660709,120.86433410644531,0.9994352158005135,108.37644958496094,0.9997097478148347,127.81876373291016,1.0,67985.0,-0.0014191339777018808,9.321963425005382e-05,-4.72234435834233e-05,0.00045689236945320054,-9.94291800234734e-05,,0.9688892960548401,0.7680174548307225,0.37321467970875927,0.8818112248206804,0.3575306534767151,0.06506089731117942,0.38390821504743694,0.6921977144195532,-0.0015703279141041134
7,0.20001088731627656,155.45770263671875,1.0046229662700519,120.82694244384766,0.9991260216560729,108.41596221923828,1.0000742288972118,127.92064666748047,1.0,67663.0,0.0005972429653686717,-0.0003739533889145076,-0.00038938580621699644,0.00036783710894854244,-0.0004606523335042152,,0.968670666217804,0.767238618841415,0.3736015252057993,0.8776346680156167,0.357242226600647,0.06910774738316666,0.38464153229977976,0.6914864572013832,-0.0007626947287699103
8,0.23334603520232264,155.4642333984375,1.0046651703750824,120.97856140136719,1.0003797688979559,108.37157440185547,0.9996647770846476,127.82585906982422,1.0,67818.0,-0.004179419193232503,-0.0007413251094385216,-0.0006506246450629821,0.00025730949069081356,-0.0007611540482157419,,0.9683258533477783,0.7663255576199043,0.37262968533427704,0.8796451223783026,0.3572355806827545,0.06759017860617145,0.38360022412928724,0.6912521911097955,-0.0019802048346337416
9,0.26668118308836875,155.5358123779297,1.0051277391991442,120.96508026123047,1.0002682924537145,108.5481948852539,1.001293998373898,127.96656799316406,1.0,67516.0,-0.0002431359987997428,-0.0009075349568360221,-0.0007501494192480682,0.00013495324477645783,-0.0009012278825818993,,0.9680284261703491,0.7655814917945376,0.37235618223828426,0.8757279790393919,0.35733410716056824,0.07324539216830746,0.38356833935659695,0.690117810025885,-0.0001247638141614188
10,0.3000163309744148,155.5309295654297,1.0050961847280935,121.0257339477539,1.0007698418208444,108.55577850341797,1.0013639528430778,127.90281677246094,1.0,67805.0,-0.0017673610290220576,-0.0008419650053943873,-0.000659170336785902,2.2068448931918855e-06,-0.0008308762398441547,,0.9680027961730957,0.7645503035666003,0.3706806282722513,0.8794765036253032,0.3567337989807129,0.0685629791042453,0.38430794189219086,0.6908022714783528,0.0001303733378406821
