x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isEye,isBrow,isMouth,isHairline,isEar,isBeard,isSpecular,lightClass
94,94,0.635294117647059,0.576470588235294,0.564705882352941,146,124,135,0,0,0,0,0,1,0,0,0,bright
94,95,0.670588235294118,0.611764705882353,0.6,154,124,135,0,0,0,0,0,1,0,0,0,bright
94,96,0.686274509803922,0.627450980392157,0.615686274509804,157,124,135,0,0,0,0,0,1,0,0,0,bright
94,97,0.67843137254902,0.619607843137255,0.607843137254902,155,124,135,0,0,0,0,0,1,0,0,0,bright
94,98,0.670588235294118,0.611764705882353,0.6,154,124,135,0,0,0,0,0,1,0,0,0,bright
94,99,0.674509803921569,0.611764705882353,0.611764705882353,154,126,135,0,0,0,0,0,1,0,0,0,bright
94,100,0.682352941176471,0.619607843137255,0.619607843137255,156,126,135,0,0,0,0,0,1,0,0,0,bright
94,101,0.686274509803922,0.623529411764706,0.623529411764706,157,126,135,0,0,0,0,0,1,0,0,0,bright
94,102,0.67843137254902,0.615686274509804,0.615686274509804,155,126,135,0,0,0,0,0,1,0,0,0,bright
94,103,0.67843137254902,0.615686274509804,0.615686274509804,155,126,135,0,0,0,0,0,1,0,0,0,bright
94,104,0.686274509803922,0.623529411764706,0.623529411764706,157,126,135,0,0,0,0,0,1,0,0,0,bright
94,105,0.694117647058824,0.631372549019608,0.631372549019608,158,126,135,0,0,0,0,0,1,0,0,0,bright
94,106,0.701960784313725,0.63921568627451,0.63921568627451,160,126,135,0,0,0,0,0,1,0,0,0,bright
94,107,0.705882352941177,0.643137254901961,0.643137254901961,161,126,135,0,0,0,0,0,1,0,0,0,bright
94,108,0.701960784313725,0.63921568627451,0.63921568627451,160,126,135,0,0,0,0,0,1,0,0,0,bright
94,109,0.705882352941177,0.643137254901961,0.643137254901961,161,126,135,0,0,0,0,0,1,0,0,0,bright
94,110,0.713725490196078,0.650980392156863,0.650980392156863,163,126,135,0,0,0,0,0,1,0,0,0,bright
94,111,0.709803921568627,0.647058823529412,0.647058823529412,162,126,135,0,0,0,0,0,1,0,0,0,bright
94,112,0.698039215686274,0.635294117647059,0.635294117647059,159,126,135,0,0,0,0,0,1,0,0,0,bright
94,113,0.67843137254902,0.615686274509804,0.615686274509804,155,126,135,0,0,0,0,0,1,0,0,0,bright
94,114,0.694117647058824,0.631372549019608,0.631372549019608,158,126,135,0,0,0,0,0,1,0,0,0,bright
94,115,0.72156862745098,0.658823529411765,0.658823529411765,164,126,135,0,0,0,0,0,1,0,0,0,bright
94,116,0.741176470588235,0.67843137254902,0.67843137254902,169,126,135,0,0,0,0,0,1,0,0,0,bright
94,117,0.737254901960784,0.674509803921569,0.674509803921569,168,126,135,0,0,0,0,0,1,0,0,0,bright
94,118,0.725490196078431,0.662745098039216,0.662745098039216,165,126,135,0,0,0,0,0,1,0,0,0,bright
94,119,0.72156862745098,0.658823529411765,0.658823529411765,164,126,135,0,0,0,0,0,1,0,0,0,bright
94,120,0.725490196078431,0.662745098039216,0.662745098039216,165,126,135,0,0,0,0,0,1,0,0,0,bright
94,121,0.737254901960784,0.682352941176471,0.67843137254902,169,125,134,0,0,0,0,0,1,0,0,0,bright
94,122,0.745098039215686,0.690196078431373,0.686274509803922,171,125,134,0,0,0,0,0,1,0,0,0,bright
94,123,0.756862745098039,0.701960784313725,0.698039215686274,173,125,134,0,0,0,0,0,1,0,0,0,bright
94,124,0.76078431372549,0.705882352941177,0.701960784313725,174,125,134,0,0,0,0,0,1,0,0,0,bright
94,125,0.76078431372549,0.705882352941177,0.705882352941177,174,126,134,0,0,0,0,0,1,0,0,0,bright
94,126,0.76078431372549,0.705882352941177,0.705882352941177,174,126,134,0,0,0,0,0,1,0,0,0,bright
94,127,0.764705882352941,0.709803921568627,0.709803921568627,175,126,134,0,0,0,0,0,1,0,0,0,bright
94,128,0.768627450980392,0.713725490196078,0.713725490196078,176,126,134,0,0,0,0,0,1,0,0,0,bright
94,129,0.76078431372549,0.705882352941177,0.705882352941177,174,126,134,0,0,0,0,0,1,0,0,0,bright
94,130,0.756862745098039,0.701960784313725,0.701960784313725,173,126,134,0,0,0,0,0,1,0,0,0,bright
94,131,0.756862745098039,0.701960784313725,0.701960784313725,173,126,134,0,0,0,0,0,1,0,0,0,bright
94,132,0.776470588235294,0.72156862745098,0.72156862745098,178,126,134,0,0,0,0,0,1,0,0,0,bright
94,133,0.796078431372549,0.741176470588235,0.737254901960784,182,125,134,0,0,0,0,0,1,0,0,0,bright
94,134,0.803921568627451,0.749019607843137,0.745098039215686,184,125,134,0,0,0,0,0,1,0,0,0,bright
94,135,0.792156862745098,0.737254901960784,0.733333333333333,181,125,134,1,0,0,0,0,0,0,0,0,bright
94,136,0.776470588235294,0.72156862745098,0.717647058823529,178,125,134,1,0,0,0,0,0,0,0,0,bright
94,137,0.780392156862745,0.717647058823529,0.717647058823529,177,126,135,0,0,0,0,0,0,0,0,0,bright
94,138,0.776470588235294,0.713725490196078,0.713725490196078,176,126,135,0,0,0,0,0,0,0,0,0,bright
94,139,0.768627450980392,0.705882352941177,0.709803921568627,175,126,135,0,0,0,0,0,0,0,0,0,bright
94,140,0.76078431372549,0.698039215686274,0.701960784313725,173,126,135,0,0,0,0,0,0,0,0,0,bright
94,141,0.749019607843137,0.694117647058824,0.694117647058824,172,126,134,0,0,0,0,0,0,0,0,0,bright
94,142,0.745098039215686,0.690196078431373,0.690196078431373,171,126,134,0,0,0,0,0,0,0,0,0,bright
94,143,0.745098039215686,0.690196078431373,0.690196078431373,171,126,134,0,0,0,0,0,0,0,0,0,bright
94,144,0.745098039215686,0.690196078431373,0.690196078431373,171,126,134,0,0,0,0,0,0,0,0,0,bright
94,145,0.733333333333333,0.686274509803922,0.686274509803922,169,126,133,0,0,0,0,0,0,0,0,0,bright
