x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isEye,isBrow,isMouth,isHairline,isEar,isBeard,isSpecular,lightClass
181,217,0.47843137254902,0.376470588235294,0.317647058823529,104,118,140,1,0,0,0,0,0,0,0,0,medium
181,218,0.470588235294118,0.368627450980392,0.309803921568627,102,118,140,1,0,0,0,0,0,0,0,0,medium
181,219,0.47843137254902,0.376470588235294,0.317647058823529,104,118,140,1,0,0,0,0,0,0,0,0,medium
181,220,0.474509803921569,0.372549019607843,0.313725490196078,103,118,140,1,0,0,0,0,0,0,0,0,medium
181,221,0.450980392156863,0.349019607843137,0.282352941176471,97,117,141,1,0,0,0,0,0,0,0,0,medium
181,222,0.454901960784314,0.349019607843137,0.282352941176471,98,117,141,1,0,0,0,0,0,0,0,0,medium
181,223,0.462745098039216,0.356862745098039,0.290196078431373,99,117,141,1,0,0,0,0,0,0,0,0,medium
181,224,0.450980392156863,0.345098039215686,0.27843137254902,97,117,141,1,0,0,0,0,0,0,0,0,medium
181,225,0.466666666666667,0.36078431372549,0.294117647058824,100,117,141,1,0,0,0,0,0,0,0,0,medium
181,226,0.505882352941176,0.4,0.333333333333333,109,117,141,1,0,0,0,0,0,0,0,0,medium
181,227,0.541176470588235,0.435294117647059,0.368627450980392,117,117,141,1,0,0,0,0,0,0,0,0,medium
181,228,0.580392156862745,0.474509803921569,0.407843137254902,125,117,141,1,0,0,0,0,0,0,0,0,medium
181,229,0.647058823529412,0.537254901960784,0.482352941176471,139,118,141,1,0,0,0,0,0,0,0,0,bright
181,230,0.713725490196078,0.603921568627451,0.549019607843137,154,118,141,1,0,0,0,0,0,0,0,0,bright
181,231,0.752941176470588,0.643137254901961,0.588235294117647,163,118,141,1,0,0,0,0,0,0,0,0,bright
181,232,0.776470588235294,0.666666666666667,0.619607843137255,168,119,141,1,0,0,0,0,0,0,0,0,bright
181,233,0.796078431372549,0.694117647058824,0.643137254901961,173,118,140,1,1,0,0,0,0,0,0,0,bright
181,234,0.819607843137255,0.713725490196078,0.670588235294118,178,119,141,1,1,0,0,0,0,0,0,0,bright
181,235,0.866666666666667,0.76078431372549,0.717647058823529,188,119,141,1,1,0,0,0,0,0,0,0,bright
181,236,0.874509803921569,0.780392156862745,0.741176470588235,192,120,139,1,1,0,0,0,0,0,0,0,bright
181,237,0.862745098039216,0.764705882352941,0.737254901960784,189,121,139,1,1,0,0,0,0,0,0,0,bright
181,238,0.870588235294118,0.772549019607843,0.752941176470588,191,122,139,1,1,0,0,0,0,0,0,0,bright
181,239,0.87843137254902,0.780392156862745,0.764705882352941,193,123,139,1,1,0,0,0,0,0,0,0,bright
181,240,0.854901960784314,0.76078431372549,0.752941176470588,189,124,139,1,1,0,0,0,0,0,0,0,bright
181,241,0.87843137254902,0.784313725490196,0.784313725490196,194,124,139,0,0,0,0,0,0,0,0,0,bright
181,242,0.87843137254902,0.796078431372549,0.792156862745098,196,124,137,0,0,0,0,0,0,0,0,0,bright
181,243,0.87843137254902,0.8,0.803921568627451,196,125,137,0,0,0,0,0,0,0,0,0,bright
181,244,0.874509803921569,0.8,0.807843137254902,196,126,136,0,0,0,0,0,0,0,0,0,bright
181,245,0.874509803921569,0.8,0.807843137254902,196,126,136,0,0,0,0,0,0,0,0,0,bright
181,246,0.882352941176471,0.807843137254902,0.815686274509804,198,126,136,0,0,0,0,0,0,0,0,0,bright
181,247,0.87843137254902,0.815686274509804,0.827450980392157,199,127,135,0,0,0,0,0,0,0,0,0,bright
181,248,0.874509803921569,0.811764705882353,0.823529411764706,198,127,135,0,0,0,0,0,0,0,0,0,bright
181,249,0.886274509803922,0.811764705882353,0.827450980392157,199,127,136,0,0,0,0,0,0,0,0,0,bright
181,250,0.890196078431372,0.807843137254902,0.827450980392157,199,127,137,0,0,0,0,0,0,0,0,0,bright
181,251,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,252,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,253,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,254,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,255,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,256,0.882352941176471,0.807843137254902,0.823529411764706,198,127,136,0,0,0,0,0,0,0,0,0,bright
181,257,0.87843137254902,0.815686274509804,0.827450980392157,199,127,135,0,0,0,0,0,0,0,0,0,bright
181,258,0.874509803921569,0.811764705882353,0.823529411764706,198,127,135,0,0,0,0,0,0,0,0,0,bright
181,259,0.870588235294118,0.807843137254902,0.819607843137255,197,127,135,0,0,0,0,0,0,0,0,0,bright
181,260,0.870588235294118,0.807843137254902,0.819607843137255,197,127,135,0,0,0,0,0,0,0,0,0,bright
181,261,0.870588235294118,0.807843137254902,0.819607843137255,197,127,135,0,0,0,0,0,0,0,0,0,bright
181,262,0.874509803921569,0.811764705882353,0.823529411764706,198,127,135,0,0,0,0,0,0,0,0,0,bright
181,263,0.87843137254902,0.815686274509804,0.827450980392157,199,127,135,0,0,0,0,0,0,0,0,0,bright
181,264,0.882352941176471,0.819607843137255,0.831372549019608,200,127,135,0,0,0,0,0,0,0,0,0,bright
181,265,0.870588235294118,0.807843137254902,0.819607843137255,197,127,135,0,0,0,0,0,0,0,0,0,bright
181,266,0.870588235294118,0.807843137254902,0.819607843137255,197,127,135,0,0,0,0,0,0,0,0,0,bright
181,267,0.87843137254902,0.803921568627451,0.827450980392157,198,128,136,0,0,0,0,0,0,0,0,0,bright
181,268,0.87843137254902,0.803921568627451,0.827450980392157,198,128,136,0,0,0,0,0,0,0,0,0,bright
181,269,0.882352941176471,0.803921568627451,0.83921568627451,198,129,136,0,0,0,0,0,0,0,0,0,bright
181,270,0.882352941176471,0.803921568627451,0.83921568627451,198,129,136,0,0,0,0,0,0,0,0,0,bright
181,271,0.886274509803922,0.807843137254902,0.843137254901961,199,129,136,0,0,0,0,0,0,0,0,0,bright
181,272,0.886274509803922,0.811764705882353,0.835294117647059,199,128,136,0,0,0,0,0,0,0,0,0,bright
181,273,0.886274509803922,0.803921568627451,0.831372549019608,198,128,137,0,0,0,0,0,0,0,0,0,bright
181,274,0.858823529411765,0.776470588235294,0.796078431372549,192,127,137,0,0,0,0,0,0,0,0,0,bright
181,275,0.819607843137255,0.733333333333333,0.741176470588235,182,126,138,0,0,0,0,0,0,0,0,0,bright
